,row_id,x,y
0,1645957,5.2207,5.2964
1,12139331,2.9674,8.1921
2,19920523,1.7566,6.7697
3,17122890,3.09,7.3091
4,20045165,3.6806,1.9322
5,18787800,4.0385,0.8463
6,15051085,1.8977,5.8837
7,25645715,5.9961,0.5344
8,989877,4.9389,7.7795
9,5058779,5.5961,4.7226
10,21189464,9.8185,7.7352
11,11853961,3.5008,1.9419
12,12847964,0.4469,7.7046
13,2599217,6.0715,9.5689
14,5058313,1.5884,6.7625
15,25124488,7.8919,5.4896
16,16102058,2.9179,2.2781
17,7488815,1.6329,9.1042
18,1964920,2.232,2.2003
19,19118913,3.9477,6.3985
20,28987776,2.8772,7.0466
21,21026249,1.6605,0.3857
22,22949396,2.9525,7.3829
23,16915474,6.2166,5.9347
24,25020754,5.8085,5.1023
25,7475338,6.2864,2.7715
26,25529722,7.1211,4.3486
27,9269446,1.1262,7.034
28,28642007,6.9999,8.0018
29,19821297,5.2137,0.2582
30,23408833,2.9207,0.1925
31,14298791,1.9777,8.4896
32,5051532,4.5567,0.5486
33,23720446,3.1796,1.7699
34,11768736,2.9009,9.7536
35,9603314,8.2183,5.0112
36,14253617,9.2911,2.0801
37,5322331,6.5352,1.2591
38,14552715,8.48,6.5973
39,266221,3.136,6.0066
40,22737687,3.4644,1.2467
41,6139976,7.3569,1.7548
42,19548371,4.6292,9.2127
43,15936331,5.3213,7.4251
44,10969381,7.3673,5.8593
45,13251377,4.4374,6.5947
46,16533873,8.7824,7.7851
47,27779461,0.5606,4.2244
48,25429960,8.5725,0.6145
49,19719053,6.8323,6.0082
50,26882153,9.0821,8.3983
51,15615144,6.362,8.947
52,21056172,4.5359,9.6564
53,5098421,6.3058,4.1434
54,28068961,1.3746,5.1806
55,2007974,0.7517,9.1421
56,25699967,6.3984,1.8298
57,8552382,3.7117,8.6803
58,4790241,4.2562,1.3663
59,356122,9.4572,9.981
60,18872801,8.33,9.6814
61,4855067,2.2613,8.7288
62,15525623,7.7808,9.1545
63,17472667,2.0703,7.2548
64,12405572,9.1022,6.6929
